wavelengths	intensities
203.99406	40.952
204.00789	51.4242
204.0217	140.176
204.03551	300.488
204.04932	334.374
204.06314	349.472
204.07695	149.855
204.09077	137.868
204.10458	164.256
204.11841	325.833
204.13222	375.199
204.14604	340.43
204.15985	412.933
204.17368	120.5
204.1875	-11.1557
204.20131	133.997
204.21513	122.14
204.22896	118.577
204.24277	168.991
204.25659	65.7518
204.27042	65.6765
204.28424	57.4862
204.29807	59.9078
204.31189	136.439
204.32571	-82.4604
204.33954	-233.066
204.35336	12.4697
204.36719	17.5773
204.38101	-82.8999
204.39484	104.128
204.40866	-41.7553
204.42249	-6.40309
204.43631	78.4793
204.45013	115.842
204.46397	17.5598
204.4778	5.59501
204.49162	-164.283
204.50546	-32.4681
204.51929	-57.4751
204.53311	73.7081
204.54695	104.906
204.56078	461.676
204.57462	154.774
204.58844	130.507
204.60228	250.185
204.6161	191.063
204.62994	55.4723
204.64378	70.1414
204.65761	185.548
204.67145	273.389
204.68529	169.938
204.69911	111.301
204.71295	109.944
204.72679	-38.3123
204.74063	11.6656
204.75447	120.773
204.76831	-27.1897
204.78215	-38.7387
204.79599	31.4545
204.80983	116.926
204.82367	-122.288
204.83751	44.9485
204.85135	185.901
204.86519	268.429
204.87903	194.948
204.89287	202.911
204.90671	115.109
204.92056	55.0627
204.9344	81.5765
204.94824	26.2391
204.9621	30.9131
204.97594	103.285
204.98978	170.248
205.00363	287.169
205.01747	346.621
205.03133	267.539
205.04517	197.312
205.05902	241.712
205.07286	225.679
205.08672	160.544
205.10057	140.763
205.11441	112.234
205.12827	98.1596
205.14212	105.623
205.15598	-16.956
205.16982	-10.9816
205.18367	129.293
205.19753	-3.57447
205.21138	41.2456
205.22523	-21.7692
205.23909	-14.6652
205.25294	44.4713
205.2668	167.277
205.28065	267.111
205.29451	252.135
205.30836	406.073
205.32222	278.562
205.33607	126.78
205.34993	369.897
205.3638	182.359
205.37766	272.719
205.39151	-2.96834
205.40538	-179.821
205.41924	70.3578
205.43309	38.1076
205.44696	-2.80808
205.46082	-101.432
205.47469	-24.6416
205.48854	-74.7155
205.50241	-16.755
205.51627	-16.3162
205.53014	-81.042
205.54399	-108.706
205.55786	-185.05
205.57173	145.876
205.58559	211.452
205.59946	256.658
205.61333	129.519
205.6272	67.8468
205.64107	-47.0527
205.65492	53.1049
205.66879	179.879
205.68266	405.676
205.69653	196.008
205.7104	139.797
205.72427	46.1601
205.73814	-58.2737
205.75201	-263.751
205.7659	-267.477
205.77977	-98.6598
205.79364	-176.02
205.80751	-223.778
205.82138	1.82685
205.83527	-200.961
205.84914	-23.2247
205.86301	-138.356
205.87689	-85.2167
205.89076	-145.313
205.90463	-1.72677
205.91852	105.348
205.93239	303.229
205.94627	326.997
205.96014	58.4937
205.97403	-32.1323
205.98792	126.032
206.00179	134.417
206.01567	-15.8039
206.02956	-140.613
206.04343	74.3173
206.05731	203.403
206.0712	250.352
206.08508	228.635
206.09897	26.6869
206.11284	-64.1147
206.12672	-175.844
206.14061	-54.0872
206.1545	79.01
206.16838	121.523
206.18227	121.488
206.19615	-159.048
206.21005	80.8418
206.22394	53.8652
206.23782	-42.4295
206.25171	-42.5556
206.26559	22.865
206.2795	147.317
206.29338	91.9966
206.30727	219.507
206.32117	64.8842
206.33505	1.54136
206.34894	137.543
206.36284	-20.0634
206.37672	-7.62904
206.39063	-93.8238
206.40451	-59.7805
206.41841	17.657
206.43231	-36.1419
206.4462	-94.8212
206.4601	-10.6266
206.474	111.863
206.48788	201.019
206.50179	258.835
206.51569	93.4215
206.52959	20.3205
206.54349	11.7454
206.55737	79.6515
206.57127	65.9099
206.58517	-25.3153
206.59908	48.5974
206.61298	31.9422
206.62688	25.2248
206.64078	129.179
206.65468	99.1979
206.66859	150.356
206.6825	136.808
206.6964	-36.8104
206.7103	-34.7191
206.7242	160.354
206.73811	198.731
206.75201	185.55
206.76591	-92.4957
206.77983	352.908
206.79373	450.043
206.80765	404.274
206.82155	303.689
206.83546	40.9562
206.84937	186.001
206.86328	203.577
206.87718	94.4311
206.8911	29.7029
206.90501	31.2031
206.91891	104.946
206.93283	115.586
206.94675	269.742
206.96066	349.975
206.97458	173.002
206.98848	252.768
207.0024	119.807
207.01631	193.334
207.03023	-64.3258
207.04414	-130.19
207.05806	-105.039
207.07198	120.588
207.08589	-102.538
207.09981	-80.2234
207.11374	18.0857
207.12766	-38.2861
207.14157	-13.8763
207.15549	-116.043
207.1694	-98.5361
207.18333	-60.6348
207.19725	-32.5021
207.21117	0.334092
207.2251	41.5538
207.23901	3.69574
207.25294	-17.3332
207.26686	-332.88
207.28079	-177.477
207.29471	40.9912
207.30864	250.686
207.32257	305.598
207.33649	237.907
207.35042	89.921
207.36435	26.854
207.37827	94.1657
207.3922	-50.0888
207.40613	-143.959
207.42006	-227.429
207.43399	22.8026
207.44791	-141.224
207.46184	-131.382
207.47577	109.676
207.4897	74.9736
207.50363	169.738
207.51756	81.0683
207.53151	-38.4464
207.54544	-100.772
207.55937	-76.3524
207.5733	-52.9974
207.58723	59.3203
207.60117	176.358
207.61511	-3.29869
207.62904	178.464
207.64297	245.814
207.65692	7.12814
207.67085	100.595
207.6848	151.679
207.69873	29.4284
207.71268	-28.6524
207.72661	-1.50235
207.74055	-79.4477
207.75449	113.875
207.76843	168.383
207.78238	193.313
207.79631	113.984
207.81026	-1.92089
207.8242	-308.807
207.83815	-75.7687
207.85208	75.5777
207.86603	91.7253
207.87997	230.79
207.89392	170.56
207.90787	139.711
207.92181	241.649
207.93576	72.8142
207.94971	124.329
207.96365	54.0917
207.9776	-61.8809
207.99155	1.89787
208.00551	-70.2633
208.01945	-104.356
208.0334	45.3701
208.04735	106.183
208.06131	190.594
208.07526	96.9663
208.0892	292.326
208.10316	414.324
208.11711	495.314
208.13107	-3.45454
208.14502	12.7884
208.15898	70.8877
208.17293	285.709
208.18689	193.765
208.20084	180.943
208.2148	262.337
208.22876	241.735
208.24271	238.648
208.25667	-53.0764
208.27063	-5.89158
208.28459	150.109
208.29855	242.634
208.31252	164.133
208.32646	131.049
208.34042	132.925
208.35439	86.0742
208.36835	-13.7603
208.38231	101.726
208.39629	162.311
208.41025	12.2331
208.42421	-7.26461
208.43817	217.586
208.45213	291.129
