Wavelength (nm)	Intensity (normalized)
199.24153	0.0
199.25519	0.0
199.26886	0.0
199.28252	0.0
199.29617	0.0
199.30984	0.0
199.3235	0.0
199.33717	0.0
199.35083	0.0
199.36449	0.0
199.37816	0.0
199.39183	0.0
199.40549	0.0
199.41916	0.0
199.43282	0.0
199.44649	0.0
199.46016	0.0
199.47382	0.0
199.48749	0.0
199.50116	0.0
199.51483	0.0
199.5285	0.0
199.54216	0.0
199.55583	0.0
199.5695	0.0
199.58318	0.0
199.59685	0.0
199.61052	0.0
199.62419	0.0
199.63786	0.0
199.65154	0.0
199.66521	0.0
199.67889	0.0
199.69257	0.0
199.70624	0.0
199.71991	0.0
199.73358	0.0
199.74727	0.0
199.76094	0.0
199.77461	0.0
199.7883	0.0
199.80197	0.0
199.81564	0.0
199.82933	0.0
199.843	0.0
199.85669	0.0
199.87036	0.0
199.88405	0.0
199.89774	0.0
199.91141	0.0
199.92509	0.0
199.93877	0.0
199.95245	0.0
199.96614	0.0
199.97983	0.0
199.9935	0.0
200.00719	0.0
200.02087	0.0
200.03456	0.0
200.04825	0.0
200.06194	0.0
200.07562	0.0
200.08931	0.0
200.103	0.0
200.11668	0.0
200.13037	0.0
200.14406	0.0
200.15775	0.0
200.17143	0.0
200.18512	0.0
200.19881	0.0
200.21251	0.0
200.2262	0.0
200.23988	0.0
200.25357	0.0
200.26727	0.0
200.28096	0.0
200.29466	0.0
200.30835	0.0
200.32204	0.0
200.33574	0.00033032999759480914
200.34943	9.529028492053412e-05
200.36313	9.170965832777077e-05
200.37683	4.220461418305935e-05
200.39052	0.00014941640340185875
200.40422	6.230984804058016e-05
200.41791	-0.0003073063753773312
200.43161	-0.00028130193793526523
200.44531	-0.0002213099912710488
200.45901	-0.0002445862936548902
200.4727	0.00026411563293003595
200.4864	0.00045190023592490394
200.50011	0.0004419078838914367
200.51381	0.00023381698389062595
200.52751	7.55151567562893e-05
200.54121	5.841060121664824e-05
200.5549	-0.00010688492647953021
200.5686	-0.00025370575056819257
200.58231	-0.00019320438987874055
200.59601	-0.00010458675307337454
200.60971	0.0001590141960311648
200.62343	0.0001800096207635535
200.63713	-9.47493872168158e-06
200.65083	-0.00030098801998740656
200.66454	0.0001505054954558107
200.67824	0.0001929165777106366
200.69194	-6.922923090643267e-05
200.70566	-3.3988860452986627e-05
200.71936	-0.00010250288487783523
200.73306	2.2387462739809694e-05
200.74677	-2.956344434145063e-05
200.76048	-3.7077503898300965e-05
200.77419	4.9575713517443045e-05
200.7879	-0.0001262561717468442
200.80161	7.687125202346818e-05
200.81532	0.0002827045155432083
200.82903	-5.025889582820991e-05
200.84274	5.732840043996076e-05
200.85645	-2.521761572616496e-07
200.87016	-0.0002494520758959336
200.88387	0.00013626352244259295
200.89758	0.0003321406469152751
200.9113	0.00019495423381157896
200.925	0.00016286520391424548
200.93872	0.00016999970272921604
200.95244	0.0003244859242283796
200.96616	0.00043684482194831267
200.97986	0.00029661813946323703
200.99358	0.00041585480213926864
201.00729	0.0001963189769561093
201.02101	0.00010275380844411174
201.03473	0.00011213243143179122
201.04845	0.0002077895755243451
201.06216	0.00010887907294754792
201.07588	-0.00014958936094888834
201.0896	-0.00010193280058805566
201.10332	-9.056800339429186e-05
201.11703	-0.0002266797826139831
201.13075	-0.00011209054327587
201.14447	-1.5316471774139063e-05
201.1582	2.9981109792910362e-05
201.17192	0.00012328886883061782
201.18564	0.00016058702872446512
201.19936	0.0003155218588612367
201.21309	0.000165913580680642
201.22681	0.00018100818035148217
201.24052	-0.00019818232427918592
201.25426	2.072571905748947e-06
201.26797	0.0003035891393470312
