PC1 PC2
-0.7649685178229435 -1.1313756071117842
-0.7649222353804038 -1.1313293246692446
-0.7648759867948085 -1.1312830760836492
-0.7648297720661572 -1.131236861354998
-0.7647834896236173 -1.1311905789124581
-0.764737241038022 -1.1311443303268627
-0.7646909585954823 -1.1310980478843229
-0.764644710009887 -1.1310517992987277
-0.7645984614242914 -1.1310055507131322
-0.7645521789817519 -1.1309592682705927
-0.7645058965392122 -1.1309129858280529
-0.7644596479536169 -1.1308667372424575
-0.7644133655110772 -1.1308204547999179
-0.7643671169254819 -1.1307742062143225
-0.764320834482942 -1.1307279237717827
-0.7642745520404027 -1.1306816413292435
-0.7642283034548071 -1.1306353927436479
-0.7641820210122676 -1.1305891103011083
-0.7641357385697278 -1.1305428278585685
-0.7640894561271887 -1.1304965454160294
-0.7640431736846488 -1.1304502629734896
-0.7639969250990535 -1.1304040143878942
-0.7639506426565138 -1.1303577319453544
-0.7639043602139742 -1.130311449502815
-0.7638580439144909 -1.1302651332033316
-0.763811761471951 -1.1302188507607918
-0.7637654790294115 -1.1301725683182522
-0.7637191965868719 -1.1301262858757126
-0.7636729141443326 -1.1300800034331733
-0.7636265978448488 -1.1300336871336896
-0.7635803154023093 -1.12998740469115
-0.7635339991028256 -1.1299410883916663
-0.763487682803342 -1.1298947720921826
-0.7634414003608024 -1.1298484896496432
-0.7633951179182628 -1.1298022072071034
-0.7633488354757234 -1.129755924764564
-0.7633024853192958 -1.1297095746081365
-0.7632562028767561 -1.1296632921655967
-0.7632099204342165 -1.1296170097230573
-0.7631635702777888 -1.1295706595666295
-0.7631172878352492 -1.12952437712409
-0.7630710053927096 -1.1294780946815504
-0.7630246552362818 -1.1294317445251225
-0.7629783727937426 -1.1293854620825834
-0.7629320226373149 -1.1293391119261555
-0.7628857401947752 -1.129292829483616
-0.7628393900383474 -1.1292464793271881
-0.7627930398819198 -1.1292001291707605
-0.7627467574393803 -1.129153846728221
-0.7627004411398965 -1.1291075304287372
-0.7626541248404131 -1.1290612141292538
-0.7626078085409295 -1.12901489782977
-0.7625614583845017 -1.1289685476733424
-0.7625151082280739 -1.1289221975169146
-0.7624688257855342 -1.128875915074375
-0.7624224756291067 -1.1288295649179474
-0.7623761593296231 -1.1287832486184637
-0.7623298091731954 -1.128736898462036
-0.7622834590167678 -1.1286905483056084
-0.76223710886034 -1.1286441981491806
-0.7621907925608566 -1.1285978818496973
-0.7621444424044287 -1.1285515316932693
-0.762098092248001 -1.1285051815368417
-0.7620517759485175 -1.1284588652373582
-0.7620054257920897 -1.1284125150809305
-0.7619590756356622 -1.128366164924503
-0.7619127254792344 -1.128319814768075
-0.7618664091797507 -1.1282734984685914
-0.7618200590233231 -1.1282271483121638
-0.7617737088668953 -1.1281807981557361
-0.7617273248535236 -1.1281344141423644
-0.7616809746970958 -1.1280880639859365
-0.7616346583976122 -1.128041747686453
-0.7615883082411846 -1.1279953975300254
-0.7615419242278127 -1.1279490135166534
-0.7614955740713851 -1.1279026633602258
-0.7614491900580131 -1.1278562793468538
-0.7614028399015856 -1.1278099291904262
-0.7613564897451579 -1.1277635790339986
-0.7684017095598408 -1.1206255911925724
-0.7633094703279975 -1.1256251301115603
-0.763186216561842 -1.125655615850972
-0.7620770463555091 -1.1266720180305612
-0.7643323446729485 -1.1243240194002666
-0.7624159361811873 -1.1261476598652844
-0.7544345760529535 -1.1340363196806629
-0.7549464615562873 -1.1334316661505857
-0.7561879990811169 -1.1320973605990123
-0.7556419138105475 -1.1325506778428382
-0.7665164989496582 -1.1215833923908718
-0.7705015199529196 -1.1175056033608672
-0.7702405838661301 -1.117673703707025
-0.7657268543686246 -1.1220946651777868
-0.7622820086609842 -1.1254467428586838
-0.7618684199358841 -1.1257675635570408
-0.7582734656396398 -1.1292698175404294
-0.7550750968664025 -1.1323754182869232
-0.7563275367570887 -1.1310301426556055
-0.758183617481942 -1.1290812939040087
-0.7637962820362437 -1.1233758613229634
-0.7642005651362413 -1.122878674768446
-0.7600862810314859 -1.126900190846458
-0.7537816240847313 -1.1331120797664687
-0.7634279775817508 -1.1233728905288178
-0.7642920848814907 -1.1224160152023346
-0.758617891606371 -1.1279974404507105
-0.7593279886268162 -1.1271944399757459
-0.7578107290604383 -1.1286189315153798
-0.7604455210640831 -1.1258913714849916
-0.7592838086270892 -1.1269602481813543
-0.7590760771191816 -1.1270751439486295
-0.7608899513592194 -1.1251684339679604
-0.7570687322909702 -1.1288968172955778
-0.7613831028034259 -1.1244896110424907
-0.7657555629343383 -1.1200243151709464
-0.7585610064757132 -1.1271260358889401
-0.7608242985549044 -1.124769908069117
-0.7595417270188857 -1.125959643864504
-0.7541454257719312 -1.131263109370827
-0.7623796431258891 -1.1229360562762374
-0.7665383624694289 -1.118684501192066
-0.7635467598342681 -1.121583200372707
-0.7628114808101029 -1.1222257113701286
-0.7629181942191489 -1.1220260945065632
-0.7661882898467826 -1.1186630954244092
-0.7685539859564989 -1.1162044958601733
-0.7654971818010049 -1.1191685319889233
-0.768010531422804 -1.1165622789126048
-0.7632510656621974 -1.1212289089325798
-0.7611959343962232 -1.1231911367440341
-0.7613508252026889 -1.1229433424830488
-0.7633579640489973 -1.1208433001822204
-0.7611881117227867 -1.1229203167677995
-0.7555927974986382 -1.1284227275374283
-0.7565694482699327 -1.1273531733116138
-0.7567669787419015 -1.1270627393851254
-0.7537984804623409 -1.1299384019240544
-0.7562120580822818 -1.1274319208495933
-0.7582431753948156 -1.12530790008254
-0.7591691491851205 -1.1242889551238275
-0.7611258508680774 -1.1222393499863506
-0.7618801250070981 -1.12139217239281
-0.7651598514728482 -1.11801954247254
-0.7619015393939899 -1.1211848833829907
-0.762179142162501 -1.1208143771599595
-0.7539921713488247 -1.1289085122330045
-0.758244772177443 -1.12456287252209
-0.7646713844874234 -1.1180434244714776
-0.7653776658895088 -1.1172441041870966
-0.7593314514893759 -1.1231974151327095
-0.7609595539903192 -1.1214763414633582
-0.7614463664109209 -1.1208966255882369
-0.7552633457483198 -1.12698667508243
-0.7608180763361004 -1.1213390410401296
-0.7588820928348702 -1.1231820533729522
-0.7565212665834973 -1.1254499761698047
-0.7540729137919209 -1.1278053577929734
-0.7548237542721083 -1.126961546144378
-0.7534712148593229 -1.1282210466748672
-0.7563657416573695 -1.1252336841361896
-0.76349773565571 -1.118008651255553
-0.7647614791835368 -1.1166519365593182
-0.7614408567424085 -1.1198795878320382
-0.7562697509345033 -1.1249576547576476
-0.7540957145813665 -1.1270387199423764
-0.7554379252796873 -1.1256036057895358
-0.7518094119060359 -1.129139147994779
-0.7649833402518066 -1.1158722484806005
-0.7612593249346427 -1.1195032926293564
-0.7649625955208745 -1.1157069831608284
-0.7616218024417182 -1.1189546696438009
-0.7617831921163716 -1.1187003088007395
-0.7609289634979945 -1.1194615662507088
-0.7564140910227642 -1.123883467557531
-0.7527856511237984 -1.1274188685742008
-0.7549287017750536 -1.125182846754538
-0.7585691291950365 -1.1214493127383707
-0.7546501445222621 -1.1252753262427375
-0.7521650349988269 -1.1276674645977647
-0.7525894403347221 -1.1271500203795732
-0.7554232560539249 -1.1242230980641859
-0.7566248676220556 -1.1229285153276476
-0.7560369582414859 -1.123423318112033
-0.7562917449993696 -1.1230755601857414
-0.7580491364465997 -1.1212250621423274
-0.7526597026464827 -1.126521524774036
-0.7529139679967792 -1.1261741528275557
-0.7514259025927427 -1.1275692470631842
-0.754971428546168 -1.1239306145135746
-0.7574031316605525 -1.1214059402307819
-0.7575437937330459 -1.1211721715621048
-0.7597646733258148 -1.1188581853731516
-0.7596817239960926 -1.1188481635344663
-0.7616635354377556 -1.1167732454966182
-0.7589667901533457 -1.1193768841848444
-0.7606423003309462 -1.11760826741106
-0.7567860824079675 -1.1213714464517421
-0.7560256414109415 -1.1220388485664718
-0.7612836182773289 -1.1166877651039007
-0.7622485398982215 -1.1156298046007123
-0.7613050422791869 -1.1164801956235622
-0.7606909947459529 -1.117001136560612
-0.7551466368972624 -1.1224523878131187
-0.7549098426369718 -1.1225960754772248
-0.7616490811940273 -1.1157637980378732
-0.7614753834276724 -1.1158443892080443
-0.7560204908435423 -1.12120617519599
-0.7550286485308209 -1.1221048431986391
-0.7561205908365316 -1.1209197942967442
-0.7520631125570776 -1.1248841659800137
-0.7558166849197969 -1.1210374870211106
-0.757655930948792 -1.1191051343959313
-0.760337609387622 -1.116330281647029
-0.7612332537461985 -1.115341530692268
-0.761008326883117 -1.1154733509591654
-0.7632179376080912 -1.1131705659241191
-0.757814601917286 -1.1184807950187396
-0.7515422638928099 -1.1246599587331443
-0.747628145860254 -1.1284809701695153
-0.7518431465545378 -1.1241727951651597
-0.7504071998154416 -1.1255156353080715
-0.7517317307158277 -1.1240979300976133
-0.7543569401607498 -1.1213796140565067
-0.7517494270782856 -1.1238938851150104
-0.7498140450073243 -1.1257362283036758
-0.7535597289514684 -1.1218973023355714
-0.7520762990725766 -1.1232875579043906
-0.751916613388482 -1.123354069278413
-0.75411202347563 -1.1210655525950803
-0.7543953567180237 -1.1206889773287263
-0.7516367870475896 -1.1233543726890884
-0.750976387707953 -1.1239215977186523
-0.7537625123791255 -1.1210422310235197
-0.7545851344717698 -1.120126434620803
-0.7520329532890224 -1.1225855092073662
-0.7559491833384449 -1.1185761048478715
-0.7526967173945197 -1.1217353287678362
-0.7575826771140328 -1.1167561947382507
-0.7606965133056333 -1.113549184236578
-0.763367176204355 -1.1107852116000076
-0.7564049423741601 -1.11765427112013
-0.7561893726746121 -1.1177765987957178
-0.7569539921744451 -1.1169188049858125
-0.7579422269715745 -1.11583739587861
-0.7566675290570368 -1.117018851769188
-0.7594432029014833 -1.1141498681868929
-0.7580604820005676 -1.1154394147777362
-0.7572756272851182 -1.1161310951831132
-0.7560710816968352 -1.1172423310335473
-0.7478572633896579 -1.1253629073167644
-0.7486544478860852 -1.1244725485102651
-0.747837006873831 -1.1251966797846704
-0.7480599091347571 -1.124880603213672
-0.751595882532235 -1.1212513200783454
-0.7503960460256073 -1.122357982274901
-0.7563709566546408 -1.1162897619080192
-0.7568133327454457 -1.1157541437932537
-0.7521004372268449 -1.1203737972878938
-0.7527659590496035 -1.1196149657272867
-0.7557968497309859 -1.1164908330219434
-0.755696098767425 -1.1164983419615442
-0.7516943226619708 -1.1204068083291503
-0.7488813159224845 -1.123126573044676
-0.7555521735404619 -1.1163624056888497
-0.751120202607659 -1.1207011345976923
-0.7522135662913361 -1.1195144611761665
-0.7512205684441563 -1.120414149285498
-0.7585389461801407 -1.113002461811665
-0.758005643900863 -1.1134424543530939
-0.7554169989316853 -1.1159377895844234
-0.7537454128110092 -1.1175160659672507
-0.7515303312274003 -1.1196378378130107
-0.7511518089072682 -1.1199231181091827
-0.75440692443861 -1.1165746928399922
-0.7495251305002881 -1.1213631770404655
-0.7547573816746588 -1.1160376161282461
-0.76888424560663 -1.1018174424584264
-0.7626390150765402 -1.1079693632506675
-0.7607197375165909 -1.10979526335888
-0.7606564607493517 -1.1097652303882706
-0.7525397292057514 -1.1177886521940223
-0.7518216517549917 -1.118413419906933
-0.7535180600231933 -1.116623634186995
-0.7550316908555933 -1.1150166936167465
-0.7557832352083715 -1.1141718395261195
-0.7588845251618151 -1.1109771721209396
-0.7577808858096383 -1.1119875017352678
-0.7604559483109473 -1.1092189940683337
-0.7614329519513955 -1.108148748403925
-0.7542226263230454 -1.11526562886665
-0.7571632379261106 -1.1122316398118484
-0.7580949833824365 -1.111206584617674
-0.7518206031152304 -1.1173875874331436
-0.7512462110971981 -1.1178686697133269
-0.75162069757068 -1.1174007380742204
-0.7513318695586719 -1.1175961886344916
-0.7542120612865757 -1.114622619454851
-0.7522534442806335 -1.1164879267229446
-0.747770221003353 -1.1208777048346004
-0.7487421964681121 -1.1198123519181045
-0.7537436227266467 -1.1147174804939448
-0.7514705714129445 -1.1168971543559107
-0.7496841094924983 -1.11859023882462
-0.7500998556948286 -1.1180810474566647
-0.7488307931470461 -1.1192567325527105
-0.7515847327926979 -1.1164093477414339
-0.7429929379054914 -1.1249077651769033
-0.7471466870086149 -1.1206606386220435
-0.7509965406096637 -1.11671733985537
-0.746629866925404 -1.120990636087893
-0.7480621297324557 -1.1194649958291043
-0.7503838101784748 -1.1170498025035724
-0.7521532237636804 -1.1151869437527417
-0.7495719682251307 -1.117674821839555
-0.748406580282299 -1.1187467646167613
-0.749184423744274 -1.1178754082752735
-0.7489777644766117 -1.117988690091199
-0.7476630482751325 -1.1192100288409415
-0.7490519365061766 -1.1177276277303845
-0.7468344259128284 -1.119851693158108
-0.7521605429076614 -1.1144320632837617
-0.7526095928712598 -1.113889635868427
-0.7461404801243142 -1.1202652357358591
-0.7483188689075796 -1.1179934695008573
-0.7542183369635054 -1.1120004885654182
-0.7568447762890615 -1.1092805363603495
-0.7521505467772215 -1.1138813884204528
-0.751820440637009 -1.1141179816811522
-0.7524685839775943 -1.1133763254610538
-0.750212616751443 -1.1155388475215804
-0.7479218837331774 -1.1177360676603332
-0.7477431471001158 -1.1178212914138816
-0.7413053017143306 -1.1241656916340423
-0.7484052305346013 -1.1169722499342583
-0.7487365647615272 -1.1165474705417073
-0.7476537999199695 -1.1175367225037522
-0.744911960765025 -1.1201850487791836
-0.7480447327019756 -1.1169587639627203
-0.7486445845584875 -1.1162654669405834
-0.7462893945453596 -1.118527144074198
-0.7488498452246906 -1.1158731805153541
-0.7509577876602216 -1.113671589772534
-0.749960879419786 -1.114574985133457
-0.7582230589442613 -1.1062192927294683
-0.7508291072560951 -1.1135197315381218
-0.7501121102497987 -1.114143283378793
-0.7503690694182037 -1.1137926759030992
-0.7528968738770043 -1.1111713585647849
-0.7575005358712349 -1.1064741836910417
-0.7584367631073983 -1.1054444435753652
-0.7588279438765965 -1.104959682212766
-0.7529905880023795 -1.1107035252074697
-0.7525960722342969 -1.111004460382151
-0.7533147933734868 -1.1101922263634483
-0.7579550834677357 -1.1054582879619101
-0.7593403630353414 -1.103979495514792
-0.7582849745143576 -1.1049413034423745
-0.7603414248695968 -1.1027913402076222
-0.7518115438399471 -1.1112275729299825
-0.7479456127788654 -1.114999923397663
-0.7521095254831716 -1.1107424978138436
-0.7517187808263996 -1.1110396618772147
-0.7515685992142969 -1.111096195182028
-0.7529842797407752 -1.1095870017760368
-0.7499426700993592 -1.112535030824052
-0.7498936616020091 -1.1124903910141126
-0.7496092825901788 -1.1126811894325417
-0.7496327055376852 -1.112564118177746
-0.7518059742712205 -1.11029726885081
-0.7454092301036389 -1.1166004324249905
-0.7409935560915827 -1.1209224581297572
-0.7480694000673126 -1.113753033560626
-0.7481707399762051 -1.1135580453444445
-0.745209251945864 -1.1164259527813845
-0.7505878357082197 -1.1109537207117395
-0.7463091826218912 -1.1151387932046668
-0.7472878747681252 -1.1140664527511432
-0.7497033994021653 -1.1115573475237024
-0.7507404468021034 -1.1104267195303632
-0.7478425648219252 -1.1132308854893636
-0.7474486594767619 -1.113531142527238
-0.7424739546806287 -1.1184122667299699
-0.7462508555953491 -1.114541649794072
-0.7454786146682957 -1.1152202424138364
-0.7492372585967899 -1.1113680178919412
-0.750095406382783 -1.1104161540847701
-0.7603979620927389 -1.100019950067525
-0.7514483225172803 -1.1088758736218065
-0.7506975817730924 -1.109533033772593
-0.7541224088350043 -1.106014490689504
-0.7523605751313588 -1.1076827437997487
-0.7483804277178729 -1.1115691751920564
-0.748759099006713 -1.1110967878820395
-0.7520600528113233 -1.10770218577014
-0.7545613347132791 -1.1051071878470065
-0.7515135133473932 -1.1080612931917149
-0.7497657487897909 -1.1097154771559161
-0.7496795261788298 -1.1097079837457
-0.7453319680929211 -1.1139618258104313
-0.7467348964205476 -1.1124651814616273
-0.7498530857192334 -1.1092532761417644
-0.7455140445431765 -1.1134986012966435
-0.7451321668054677 -1.1137867630131753
-0.7471215116444508 -1.111703702153015
-0.7495540577906344 -1.1091774399856535
-0.742567948848938 -1.1160698329061727
-0.7473723789667205 -1.1111716867672128
-0.751414348394605 -1.1070360013181504
-0.7537615078781535 -1.104595125813425
-0.7515830727120942 -1.1066798449583068
-0.7517672097735515 -1.106401991875672
-0.7491733431838115 -1.1089021424442351
-0.7473845953079153 -1.110597106585065
-0.7481068641516798 -1.1097811217201237
-0.746454748486961 -1.111339521363665
-0.7465434087183732 -1.1111570096832994
-0.748595954482066 -1.1090107478984288
-0.7504915959075463 -1.1070213904517714
-0.7538364125441814 -1.1035827900800703
-0.7555141707615569 -1.1018113158415175
-0.7531731910012216 -1.104058444152899
-0.7510891496521205 -1.106048769480823
-0.7523302373398862 -1.1047138980579916
