Wavelength (nm),Intensity (Normalized)
247.78764,0.004388659211355441
279.4852,0.01570370319568043
280.19604,0.010909387427770707
283.45898,0.010112063024443507
284.17902,0.010158522874340895
285.12988,0.008106161888147966
289.24854,0.005280372115165351
300.60388,0.004875289188595587
305.1958,0.004391154242282561
315.32047,0.013372638310249811
315.80603,0.1407231176799703
316.29236,0.009546552497309638
317.26718,0.004947518812873571
317.85352,0.03848933079961159
318.04919,0.00785532598987844
320.36713,0.010804589544424639
320.86035,0.12682203142714438
321.35434,0.010330375884964488
323.01962,0.03171552150901563
362.32925,0.005020740492902548
362.95471,0.007297325311319966
368.92896,0.0066827951376671555
369.40668,0.005412394668741563
369.6116,0.005965244244107928
370.50098,0.017202558178940237
371.11801,0.006915532832775519
373.04434,0.012984914395078272
373.59659,0.1247916166190494
374.17276,0.009545031856546322
374.61127,0.005046567633366257
377.55585,0.024592434661302235
380.12549,0.01469146092812352
380.68854,0.17694557167947816
381.25241,0.012925387920549774
381.69943,0.00463055244246215
388.11047,0.004865790492461521
388.94962,0.005504019848628881
389.06964,0.01003864098010352
392.6398,0.011360375039959063
393.24622,0.12169486105333752
393.85355,0.012581039487883236
394.09677,0.004479445460168898
395.58374,0.004568015974154169
395.77917,0.005410828510209277
395.92581,0.007215047032092116
396.12143,0.023244587356546165
396.73334,0.29913518134347056
397.32172,0.023587762875918045
397.46896,0.012249680384081564
397.73901,0.005573770727792644
397.86185,0.005523189988119188
398.67346,0.004502491855778338
398.91974,0.004579288325957234
400.47491,0.01477232834319124
401.14331,0.20015526569062503
401.83771,0.01502133629544436
403.55414,0.009856850452798487
403.87839,0.006685217946985435
404.07803,0.03383223194404624
404.72763,0.4348643689801276
405.30319,0.038936018593217166
406.68292,0.004516669425192025
409.38098,0.007045004206187505
412.91348,0.008078394181754711
413.04114,0.017723299301809943
416.19424,0.005610437355438313
421.45239,0.009278133383680255
421.89584,0.01061190374285615
422.57495,0.15000178363144046
423.20282,0.014777534668749159
423.83167,0.004718835079118215
428.181,0.0264525799113102
428.79092,0.02778065153056766
429.77393,0.012216013835934347
430.14651,0.054661615448620846
430.65265,0.032143537372153065
430.94595,0.01494212130968359
431.58664,0.2968556322008458
432.2818,0.02672240215951826
432.97812,0.004537581000616766
436.8826,0.005808495441067655
437.53232,0.08029827034892706
438.18304,0.09171347330303625
438.86194,0.008572704133460543
439.16101,0.0404777714322878
439.51471,0.17258456182889098
440.05945,0.0925427057518846
441.17828,0.11695249484742944
441.80722,0.010645390244214927
442.43707,0.03931584530595189
443.39731,0.007112199633639212
445.35178,0.027703142175558013
451.04465,0.004996628167176297
451.60403,0.009831467794406058
452.30426,0.10762801938836089
452.94943,0.006784979539003539
453.51123,0.026362349431498816
454.83426,0.009880810112302225
455.51138,0.10796803473616447
456.18951,0.010559363342320272
458.48587,0.008862632854745253
462.94183,0.004935796392213037
468.42871,0.010928913208561084
468.74841,0.012133203660107672
469.18469,0.03612779252995854
471.34314,0.008126239211989718
499.93488,0.020909988847335956
516.98059,0.02711419685369319
518.71698,0.00931147160406619
526.89789,0.006143412777706064
530.77289,0.004552469741253634
532.4234,0.04052492097514489
534.80914,0.01012211572742455
540.3504,0.029578419478622938
540.68604,0.015101835201469481
541.15631,0.07454231807702708
541.96338,0.0064554227691989065
548.49719,0.005058351288726559
549.31512,0.059600297954023995
550.1001,0.0057126408098062235
558.73956,0.02179761517716101
559.29486,0.010594304708158264
559.67688,0.00766022410561076
559.98969,0.0047857496729410975
566.49268,0.013827023865367404
574.03131,0.043216020989998466
574.7442,0.15104012746489587
575.31519,0.08158731995990223
575.74371,0.07439926179594111
576.17261,0.030597486482005574
576.95978,0.005316419138909697
585.54279,0.005179671793191203
603.38501,0.021162958206878156
606.72321,0.03712023586940079
607.36285,0.026710096495182488
610.15497,0.010124845467132612
612.04858,0.025059814924621258
613.03552,0.00437971561615162
616.08197,0.039903157871162304
616.80762,0.014970937813546924
629.23273,0.04686900824420294
630.28552,0.013014484314269771
631.22278,0.13543915670338447
632.2005,0.009455416511710888
634.39587,0.014790848334945456
635.37836,0.153557923013255
636.12598,0.05601759145435209
637.07159,0.005499421950647016
643.72888,0.007728806025181025
644.80505,0.006120056042487142
646.04272,0.010903003999241323
649.16705,0.009420043289450142
651.70111,0.004662268138808436
655.94568,0.004766339198671889
665.25366,0.05682502688159308
666.3642,0.016665865172038052
667.68274,0.06476295174293953
668.63196,0.021311120916432797
670.9071,0.04855508745584872
671.52887,0.015514208617300927
678.02783,0.004784563061863761
694.83734,0.014618928432136717
714.58704,0.00657045919755761
720.01593,0.006737993301737724
732.42902,0.004628592783700662
741.16412,0.027159929536186345
746.73584,0.021639718102875474
759.57788,0.00973752321309317
777.03503,0.005704738696736115
808.16962,0.011232507679345869
849.58087,0.006345192867252659
853.97656,0.011647039504133136
886.61169,0.009759888973631546
891.17963,0.014119081232015449
905.4472,0.004996802373821156
